variable,code,text,labelset
k13,-9,Don't know (spontaneous),
k13,1,Yes,
k13,2,No,
k14a,-9,Don't know (spontaneous),
k14a,1,Yes,
k14a,2,No,
k14b,-9,Don't know (spontaneous),
k14b,1,Yes,
k14b,2,No,
k14c,-9,Don't know (spontaneous),
k14c,1,Yes,
k14c,2,No,
k14d,-9,Don't know (spontaneous),
k14d,1,Yes,
k14d,2,No,
k14e,-9,Don't know (spontaneous),
k14e,1,Yes,
k14e,2,No,
k15a,-9,Don't know (spontaneous),
k15d,-9,Don't know (spontaneous),
k15d,1,Yes,
k15d,2,No,
k162a,-9,Don't know (spontaneous),
k162a,1,Yes,
k162a,2,No,
k162b,-9,Don't know (spontaneous),
k162b,1,Yes,
k162b,2,No,
k17,-9,Don't know (spontaneous),
k17,1,No need for a loan - establishment had sufficient capital,
k17,2,Application procedures were complex,
k17,3,Interest rates were not favorable,
k17,4,Collateral requirements were too high,
k17,5,Size of loan and maturity were insufficient,
k17,6,Did not think it would be approved,
k17,7,Other,
k20a1,-9,Don't know (spontaneous),
k20a1,-6,Still in process,
k20a1,1,Application was approved in full,
k20a1,2,Application was approved in part,
k20a1,3,Application was rejected,
k20a1,4,Application was withdrawn,
k32,-9,Don't know (spontaneous),
k21,-9,Don't know (spontaneous),
k21,1,Yes,
k21,2,No,
k33,-9,Don't know (spontaneous),
k342,-9,Don't know (spontaneous),
k342,1,Debit cards,
k342,2,Credit cards,
k342,3,"Bank transfers, including through online and mobile banking",
k342,4,"Other (including e-money, e-wallet, and mobile money",
k35,-9,Don't know (spontaneous),
k35,0,Payment received in less than a day,
k36,-9,Don't know (spontaneous),
k36,-6,Costless (Zero),
k36,-5,Above 0 but below 0.5%,
k38,-9,Don't know (spontaneous),
k392,-9,Don't know (spontaneous),
k392,1,Debit cards,
k392,2,Credit cards,
k392,3," Bank transfers, including through online and mobile banking",
k392,4,"Other (including e-money, e-wallet, and mobile money",
k40,-9,Don't know (spontaneous),
k40,-6,Costless (zero),
k40,-5,Above 0 but below 0.5%,
j2,-9,Don't know (spontaneous),
j2,0,No time spent,
j3,-9,Don't know (spontaneous),
j3,1,Yes,
j3,2,No,
j4,-9,Don't know (spontaneous),
j5,-9,Don't know (spontaneous),
j5,-8,Refusal (spontaneous),
j5,1,Yes,
j5,2,No,
j32,-9,Don't know (spontaneous),
j32,1,Yes,
j32,2,No,
j33,-9,Don't know (spontaneous),
j33,-6,Audit completed but no report received,
j33,-5,Audit is ongoing,
j33,1,One week or less,
j35,-9,Don't know (spontaneous),
j35,1,One hour or less,
j36,-9,Don't know (spontaneous),
j36,1,"Yes, fully",
j36,2,"Yes, partially",
j36,3,No,
j37,-9,Don't know (spontaneous),
j37,1,"Yes, fully",
j37,2,"Yes, partially",
j37,3,No,
j38,-9,Don't know (spontaneous),
j38,-6,No refund systems exists,
j38,1,Yes,
j38,2,No,
j39,-9,Don't know (spontaneous),
j39,-5,Refund still outstanding,
j39,1,One week or less,
j40,-9,Don't know (spontaneous),
j40,-7,Not eligible,
j40,1,Refunds take too long to receive,
j40,2,The application for a refund is too complicated,
j40,3,The establishment did not need to request a refund,
j40,4,Other,
j6a,-9,Don't know (spontaneous),
j6a,1,Yes,
j6a,2,No,
j41,-9,Don't know (spontaneous),
j41,1,Very much difficult,
