idstd,id,wmedian,wweak,finance_status,k162a,k162b,k17,k20a1,k6,k82a,k82b,k9,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k32,a2,a3a,a3c,a6a,a6c,b4,b4a,b5,b6b,b7a,b8,d1a2_v4,d2,d3b,d3c,d8,h1,h5,h8,h9,n3,b1,b2a,b2b,b2c,d1a3,e1,e312,l4a1,l4a2,l4b
1629303,2002,5.971265,14.54295,discouraged,2,2,6.0,,1,2,1,4.0,40000.0,2.0,,,,,,,,4,4,2,1,7,2,,2019,2021,2,2,1811,2000000.0,0,0,,1,1,2,,3000000.0,3,100,0,0,70,2,3.0,1,2,0
1629305,2028,4.5739584,9.685307,approved_full,1,2,,1.0,1,1,1,1.0,150000.0,2.0,,,,,,,7.0,4,1,1,1,15,1,100.0,2024,2024,1,2,1520,50000.0,0,0,,2,2,2,,-7.0,4,100,0,0,20,1,3.0,5,0,0
1629306,2036,4.5739584,9.685307,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,4,1,1,1,5,2,,2020,2020,2,2,4610,21000000.0,0,0,,1,1,1,200000.0,7000000.0,4,100,0,0,100,2,3.0,2,2,1
1629307,2048,2.3797135,4.008844,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,1,1,1,1,35,1,80.0,2016,2018,1,2,1410,1500000.0,0,0,,2,2,2,,400000.0,4,100,0,0,60,1,3.0,15,3,0
1629308,2088,1.1599877,1.6717311,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,3,3,2,2,20,2,,2013,2013,2,2,1430,7000000.0,0,0,,2,2,2,,8000000.0,4,100,0,0,90,2,1.0,2,14,1
1629309,2106,1.546778,3.5301352,approved_full,2,1,,1.0,1,2,1,-9.0,7000.0,2.0,,,,,,,,4,4,2,2,22,2,,2023,2023,2,2,2023,5000000.0,0,0,,2,2,2,,-7.0,3,100,0,0,100,2,3.0,2,10,4
1629310,2109,5.415388,10.492743,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,1,1,1,1,5,2,,2010,2011,2,2,2396,1200000.0,0,0,,2,2,2,,900000.0,3,100,0,0,20,2,-9.0,3,0,0
1629311,2123,1.1599877,1.6717311,discouraged,2,2,3.0,,1,2,2,,,,,,,,,,,3,3,2,2,45,2,,2011,2011,2,1,2511,95000000.0,0,0,,1,2,1,1200000.0,45000000.0,3,100,0,0,80,2,3.0,8,15,7
1629312,2124,5.971265,14.54295,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,4,4,2,1,5,1,50.0,2014,2014,2,1,4210,5000000.0,0,0,,2,2,2,,-7.0,4,100,0,0,100,2,3.0,2,4,0
1629313,2133,2.3797135,4.008844,discouraged,2,2,6.0,,2,2,2,,,,,,,,,,,1,1,1,1,5,2,,2024,2024,2,2,1520,4000000.0,0,0,,2,2,2,,-7.0,1,100,0,0,100,1,3.0,2,1,0
1629314,2141,1.1599877,1.6717311,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,3,3,2,2,21,2,,2017,2017,2,2,2029,20000000.0,0,0,,2,2,2,,15000000.0,4,100,0,0,90,2,3.0,4,6,2
1629315,2143,4.5739584,9.685307,approved_full,1,2,,1.0,1,1,1,1.0,200000.0,2.0,,,,,,,45.0,4,4,2,1,8,1,100.0,2024,2024,1,2,1410,2880000.0,0,0,,2,2,2,,-7.0,4,100,0,0,60,1,3.0,2,6,0
1629316,2146,6.067827,9.331877,discouraged,2,2,3.0,,1,2,2,,,,,,,,,,,3,3,2,1,25,2,,2020,2023,2,2,4100,21000000.0,0,0,,2,2,2,,8000000.0,3,100,0,0,80,2,3.0,4,4,4
1629317,2160,7.494959,13.3507,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,1,40,2,,2007,2007,2,2,4690,5000000.0,0,0,,1,2,2,,2500000.0,3,100,0,0,100,2,3.0,4,46,0
1629319,2168,1.6899508,2.801251,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,3,1,1,2,7,2,,2012,2012,2,2,4921,3000000.0,0,0,,2,2,2,,3000000.0,4,100,0,0,100,2,3.0,3,2,3
1629320,2183,32.978874,44.096756,no_need,2,2,1.0,,2,2,1,-9.0,-8.0,2.0,,,,,,,,3,3,2,1,43,2,,2017,2018,2,2,1040,3700000.0,0,0,,2,2,2,,4500000.0,3,100,0,0,97,1,3.0,4,3,2
1629321,2185,6.067827,9.331877,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,3,3,2,1,20,2,,2010,2010,2,2,4100,80000000.0,0,0,,2,2,2,,80000000.0,4,100,0,0,80,2,1.0,5,10,15
1629322,2189,1.1599877,1.6717311,approved_full,2,1,,1.0,1,2,1,2.0,3000000.0,1.0,1.0,2.0,2.0,2.0,2.0,41031100.0,,3,2,2,2,10,2,,2011,2011,2,2,1079,12500000.0,0,0,,1,1,1,200000.0,11800000.0,3,100,0,0,70,2,2.0,2,7,1
1629323,2231,1.0163754,2.7457263,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,3,30,2,,2023,2024,2,2,1079,2000000.0,0,0,,2,2,2,,-7.0,3,100,0,0,40,1,3.0,4,6,0
1629324,2232,1.0163754,2.7457263,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,1,1,1,3,7,2,,2023,2023,2,2,4690,4000000.0,0,0,,2,2,2,,1500000.0,4,100,0,0,100,2,3.0,2,3,2
1629325,2241,5.971265,14.54295,no_need,2,2,1.0,,1,2,1,-9.0,-9.0,2.0,,,,,,,,4,3,2,1,20,2,,2005,2005,2,2,4100,9500000.0,0,0,,1,1,1,25000.0,2000000.0,4,100,0,0,60,2,3.0,2,1,12
1629326,2277,5.415388,10.492743,apply_unknown,2,-9,,,1,2,2,,,,,,,,,,,1,2,2,1,12,2,,2007,2007,2,2,4210,3751000.0,0,0,,2,2,2,,5183200.0,3,100,0,0,100,2,3.0,5,2,5
1629327,2281,5.971265,14.54295,approved_full,2,1,,1.0,1,2,2,,,,,,,,,,,4,4,2,1,5,2,,2020,2020,2,2,4290,4000000.0,0,0,,2,2,1,500000.0,7000000.0,4,100,0,0,100,2,3.0,2,6,4
1629328,2288,1.7296375,3.7008953,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,2,2,2,1,200,2,,2008,2008,2,2,4661,684000000.0,0,0,,2,2,2,,478800000.0,3,100,0,0,100,2,2.0,54,134,12
1629329,2295,3.2991145,5.109369,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,2,2,2,1,9,2,,2019,2020,2,2,1391,10000000.0,0,0,,2,2,2,,4000000.0,3,100,0,0,100,2,3.0,28,0,0
